---Listar todos los aeropuertos---

1- Aeropuerto : [Nombre: Jorge Newbery, Pais: ARG, Ciudad: CABA]
2- Aeropuerto : [Nombre: Ministro Pistarini, Pais: ARG, Ciudad: Ezeiza]
3- Aeropuerto : [Nombre: Comodoro Benitez, Pais: CHI, Ciudad: Santiago]
4- Aeropuerto : [Nombre: La Araucania, Pais: CHI, Ciudad: Araucania]
5- Aeropuerto : [Nombre: Pucon, Pais: CHI, Ciudad:  Pucon]
6- Aeropuerto : [Nombre: Campinas, Pais: BRA, Ciudad: San Pablo]
7- Aeropuerto : [Nombre: John F. Kennedy, Pais: USA, Ciudad: New York]
8- Aeropuerto : [Nombre: Trenton-Mercer, Pais: USA, Ciudad: New Jersey]
9- Aeropuerto : [Nombre: Westchester, Pais: USA, Ciudad: New York]
10- Aeropuerto : [Nombre: Tancredo Neves, Pais: BRA, Ciudad: Belo Horizonte]
11- Aeropuerto : [Nombre: Francisco Gabrielli, Pais: ARG, Ciudad: Mendoza]
12- Aeropuerto : [Nombre: Comandante Espora, Pais: ARG, Ciudad: Bahia Blanca]
13- Aeropuerto : [Nombre: Jorge Chavez, Pais: PER, Ciudad: Lima]
14- Aeropuerto : [Nombre: Madrid-Barajas, Pais: ESP, Ciudad: Madrid]
15- Aeropuerto : [Nombre: El prat, Pais: ESP, Ciudad: Barcelona]
16- Aeropuerto : [Nombre: Humberto Delgado, Pais: POR, Ciudad: Lisboa]
17- Aeropuerto : [Nombre: Kingsford Smith, Pais: AUS, Ciudad: Sydney]
18- Aeropuerto : [Nombre: Silvio Pettirosi, Pais: PAR, Ciudad: Asuncion]
19- Aeropuerto : [Nombre: Tocumen, Pais: PAN, Ciudad: Panama]
20- Aeropuerto : [Nombre: Armando Tola, Pais: ARG, Ciudad: Calafate]
21- Aeropuerto : [Nombre: Logan, Pais: USA, Ciudad: Boston]
